session_id,experiment,variant,x,metric,value
7e6c8b9fba8e,modes,eager,1,latency_us,141.48199558258057
7e6c8b9fba8e,modes,eager,1,kernel_launches,11.0
7e6c8b9fba8e,modes,compile,1,latency_us,95.36699950695038
7e6c8b9fba8e,modes,compile,1,kernel_launches,3.0
7e6c8b9fba8e,modes,graph,1,latency_us,25.746000930666924
7e6c8b9fba8e,modes,graph,1,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph,1,latency_us,8.621000219136477
7e6c8b9fba8e,modes,compile_graph,1,kernel_launches,3.0
7e6c8b9fba8e,mechanism,chain,1,fusion_speedup,1.4835529723494059
7e6c8b9fba8e,mechanism,chain,1,graph_speedup,5.495299870592976
7e6c8b9fba8e,mechanism,chain,1,combined_speedup,16.41132026287689
7e6c8b9fba8e,mechanism,chain,1,fused_gbps,0.22548680477708416
7e6c8b9fba8e,mechanism,chain,1,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager,8,latency_us,170.29200494289398
7e6c8b9fba8e,modes,eager,8,kernel_launches,11.0
7e6c8b9fba8e,modes,compile,8,latency_us,90.64899757504463
7e6c8b9fba8e,modes,compile,8,kernel_launches,2.0
7e6c8b9fba8e,modes,graph,8,latency_us,33.97099860012531
7e6c8b9fba8e,modes,graph,8,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph,8,latency_us,8.446999825537205
7e6c8b9fba8e,modes,compile_graph,8,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain,8,fusion_speedup,1.878586741148639
7e6c8b9fba8e,mechanism,chain,8,graph_speedup,5.012864265410961
7e6c8b9fba8e,mechanism,chain,8,combined_speedup,20.160057826456022
7e6c8b9fba8e,mechanism,chain,8,fused_gbps,1.8977816037908382
7e6c8b9fba8e,mechanism,chain,8,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager,32,latency_us,163.47000002861023
7e6c8b9fba8e,modes,eager,32,kernel_launches,11.0
7e6c8b9fba8e,modes,compile,32,latency_us,88.23199942708015
7e6c8b9fba8e,modes,compile,32,kernel_launches,2.0
7e6c8b9fba8e,modes,graph,32,latency_us,41.76200181245804
7e6c8b9fba8e,modes,graph,32,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph,32,latency_us,8.439000230282545
7e6c8b9fba8e,modes,compile_graph,32,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain,32,fusion_speedup,1.8527291809102768
7e6c8b9fba8e,mechanism,chain,32,graph_speedup,3.914323857431696
7e6c8b9fba8e,mechanism,chain,32,combined_speedup,19.370778003064128
7e6c8b9fba8e,mechanism,chain,32,fused_gbps,7.799075216114845
7e6c8b9fba8e,mechanism,chain,32,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager,128,latency_us,168.92500221729279
7e6c8b9fba8e,modes,eager,128,kernel_launches,11.0
7e6c8b9fba8e,modes,compile,128,latency_us,91.55400097370148
7e6c8b9fba8e,modes,compile,128,kernel_launches,2.0
7e6c8b9fba8e,modes,graph,128,latency_us,48.20000007748604
7e6c8b9fba8e,modes,graph,128,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph,128,latency_us,8.874999824911356
7e6c8b9fba8e,modes,compile_graph,128,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain,128,fusion_speedup,1.8450859647937814
7e6c8b9fba8e,mechanism,chain,128,graph_speedup,3.504668090160372
7e6c8b9fba8e,mechanism,chain,128,combined_speedup,19.03380344224176
7e6c8b9fba8e,mechanism,chain,128,fused_gbps,30.064355142607564
7e6c8b9fba8e,mechanism,chain,128,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager,512,latency_us,167.55400598049164
7e6c8b9fba8e,modes,eager,512,kernel_launches,11.0
7e6c8b9fba8e,modes,compile,512,latency_us,91.09099954366684
7e6c8b9fba8e,modes,compile,512,kernel_launches,2.0
7e6c8b9fba8e,modes,graph,512,latency_us,76.94800198078156
7e6c8b9fba8e,modes,graph,512,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph,512,latency_us,14.05400037765503
7e6c8b9fba8e,modes,compile_graph,512,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain,512,fusion_speedup,1.8394134087876626
7e6c8b9fba8e,mechanism,chain,512,graph_speedup,2.1774965128053583
7e6c8b9fba8e,mechanism,chain,512,combined_speedup,11.922157498080894
7e6c8b9fba8e,mechanism,chain,512,fused_gbps,120.8686703972553
7e6c8b9fba8e,mechanism,chain,512,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,modes,eager,2048,latency_us,249.67200309038162
7e6c8b9fba8e,modes,eager,2048,kernel_launches,11.0
7e6c8b9fba8e,modes,compile,2048,latency_us,91.69600158929825
7e6c8b9fba8e,modes,compile,2048,kernel_launches,2.0
7e6c8b9fba8e,modes,graph,2048,latency_us,233.65900665521622
7e6c8b9fba8e,modes,graph,2048,kernel_launches,11.0
7e6c8b9fba8e,modes,compile_graph,2048,latency_us,52.95000039041042
7e6c8b9fba8e,modes,compile_graph,2048,kernel_launches,2.0
7e6c8b9fba8e,mechanism,chain,2048,fusion_speedup,2.722823228526909
7e6c8b9fba8e,mechanism,chain,2048,graph_speedup,1.068531475265552
7e6c8b9fba8e,mechanism,chain,2048,combined_speedup,4.7152408167989135
7e6c8b9fba8e,mechanism,chain,2048,fused_gbps,480.2847587319434
7e6c8b9fba8e,mechanism,chain,2048,byte_model_speedup,3.3333333333333335
7e6c8b9fba8e,crossover,chain,5,crossover_batch,647.7875825186662
7e6c8b9fba8e,crossover,chain,5,measured_launch_us,23.14719893038273
7e6c8b9fba8e,crossover,chain,5,remodelled_crossover_batch,801.3529857123726
7e6c8b9fba8e,mechanism,chain,2048,graphed_fused_gbps,831.7316652555862
7e6c8b9fba8e,modes,eager_ops2,1,latency_us,95.4119972884655
7e6c8b9fba8e,modes,eager_ops2,1,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_ops2,1,latency_us,54.52500097453594
7e6c8b9fba8e,modes,compile_ops2,1,kernel_launches,1.0
7e6c8b9fba8e,modes,graph_ops2,1,latency_us,16.977999359369278
7e6c8b9fba8e,modes,graph_ops2,1,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_graph_ops2,1,latency_us,8.607999887317419
7e6c8b9fba8e,modes,compile_graph_ops2,1,kernel_launches,1.0
7e6c8b9fba8e,mechanism,chain_ops2,1,fusion_speedup,1.7498761225703499
7e6c8b9fba8e,mechanism,chain_ops2,1,graph_speedup,5.6197432494195825
7e6c8b9fba8e,mechanism,chain_ops2,1,combined_speedup,11.084107636785706
7e6c8b9fba8e,mechanism,chain_ops2,1,fused_gbps,0.3943878884118263
7e6c8b9fba8e,mechanism,chain_ops2,1,byte_model_speedup,1.3333333333333333
7e6c8b9fba8e,modes,eager_ops2,8,latency_us,96.37700021266937
7e6c8b9fba8e,modes,eager_ops2,8,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_ops2,8,latency_us,62.54999898374081
7e6c8b9fba8e,modes,compile_ops2,8,kernel_launches,1.0
7e6c8b9fba8e,modes,graph_ops2,8,latency_us,22.30999991297722
7e6c8b9fba8e,modes,graph_ops2,8,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_graph_ops2,8,latency_us,8.63999966531992
7e6c8b9fba8e,modes,compile_graph_ops2,8,kernel_launches,1.0
7e6c8b9fba8e,mechanism,chain_ops2,8,fusion_speedup,1.5407993889451785
7e6c8b9fba8e,mechanism,chain_ops2,8,graph_speedup,4.319901415894182
7e6c8b9fba8e,mechanism,chain_ops2,8,combined_speedup,11.154745827076459
7e6c8b9fba8e,mechanism,chain_ops2,8,fused_gbps,2.750311795284247
7e6c8b9fba8e,mechanism,chain_ops2,8,byte_model_speedup,1.3333333333333333
7e6c8b9fba8e,modes,eager_ops2,32,latency_us,96.65699675679207
7e6c8b9fba8e,modes,eager_ops2,32,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_ops2,32,latency_us,62.783997505903244
7e6c8b9fba8e,modes,compile_ops2,32,kernel_launches,1.0
7e6c8b9fba8e,modes,graph_ops2,32,latency_us,28.77200022339821
7e6c8b9fba8e,modes,graph_ops2,32,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_graph_ops2,32,latency_us,8.541000075638294
7e6c8b9fba8e,modes,compile_graph_ops2,32,kernel_launches,1.0
7e6c8b9fba8e,mechanism,chain_ops2,32,fusion_speedup,1.5395164468096179
7e6c8b9fba8e,mechanism,chain_ops2,32,graph_speedup,3.3594117894586923
7e6c8b9fba8e,mechanism,chain_ops2,32,combined_speedup,11.316824247840627
7e6c8b9fba8e,mechanism,chain_ops2,32,fused_gbps,10.96024508371419
7e6c8b9fba8e,mechanism,chain_ops2,32,byte_model_speedup,1.3333333333333333
7e6c8b9fba8e,modes,eager_ops2,128,latency_us,96.05199843645096
7e6c8b9fba8e,modes,eager_ops2,128,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_ops2,128,latency_us,63.59900161623955
7e6c8b9fba8e,modes,compile_ops2,128,kernel_launches,1.0
7e6c8b9fba8e,modes,graph_ops2,128,latency_us,32.60499984025955
7e6c8b9fba8e,modes,graph_ops2,128,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_graph_ops2,128,latency_us,8.528999984264374
7e6c8b9fba8e,modes,compile_graph_ops2,128,kernel_launches,1.0
7e6c8b9fba8e,mechanism,chain_ops2,128,fusion_speedup,1.5102752558292483
7e6c8b9fba8e,mechanism,chain_ops2,128,graph_speedup,2.9459285050463087
7e6c8b9fba8e,mechanism,chain_ops2,128,combined_speedup,11.261812476686908
7e6c8b9fba8e,mechanism,chain_ops2,128,fused_gbps,43.279169956296386
7e6c8b9fba8e,mechanism,chain_ops2,128,byte_model_speedup,1.3333333333333333
7e6c8b9fba8e,modes,eager_ops2,512,latency_us,93.00899878144264
7e6c8b9fba8e,modes,eager_ops2,512,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_ops2,512,latency_us,63.0900003015995
7e6c8b9fba8e,modes,compile_ops2,512,kernel_launches,1.0
7e6c8b9fba8e,modes,graph_ops2,512,latency_us,47.668999060988426
7e6c8b9fba8e,modes,graph_ops2,512,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_graph_ops2,512,latency_us,9.11800004541874
7e6c8b9fba8e,modes,compile_graph_ops2,512,kernel_launches,1.0
7e6c8b9fba8e,mechanism,chain_ops2,512,fusion_speedup,1.474227267979338
7e6c8b9fba8e,mechanism,chain_ops2,512,graph_speedup,1.9511422646497265
7e6c8b9fba8e,mechanism,chain_ops2,512,combined_speedup,10.200592050684866
7e6c8b9fba8e,mechanism,chain_ops2,512,fused_gbps,174.51336102974886
7e6c8b9fba8e,mechanism,chain_ops2,512,byte_model_speedup,1.3333333333333333
7e6c8b9fba8e,modes,eager_ops2,2048,latency_us,146.09800279140472
7e6c8b9fba8e,modes,eager_ops2,2048,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_ops2,2048,latency_us,62.29500100016594
7e6c8b9fba8e,modes,compile_ops2,2048,kernel_launches,1.0
7e6c8b9fba8e,modes,graph_ops2,2048,latency_us,135.33399999141693
7e6c8b9fba8e,modes,graph_ops2,2048,kernel_launches,7.0
7e6c8b9fba8e,modes,compile_graph_ops2,2048,latency_us,27.658999897539616
7e6c8b9fba8e,modes,compile_graph_ops2,2048,kernel_launches,1.0
7e6c8b9fba8e,mechanism,chain_ops2,2048,fusion_speedup,2.345260461445623
7e6c8b9fba8e,mechanism,chain_ops2,2048,graph_speedup,1.0795365747016306
